,회사명,종목코드,상장일,상장유형,증권구분,상장주선인,액면가(원),공모가(원),공모금액(천원),최초상장주식수(주),1년후종가
186,인트론바이오,048530,2011-01-26,신규상장,주권,신한금융투자(주),500,6100,3050000,9163333,4948
187,블루콤,033560,2011-01-26,신규상장,주권,엔에이치투자증권주식회사,500,12000,32400000,9600000,6112
188,딜리,131180,2011-01-31,신규상장,주권,KB증권(주),500,8000,11760000,5470000,1208
189,제이엔케이히터,126880,2011-01-31,신규상장,주권,엔에이치투자증권주식회사,500,13600,27200000,8000000,11810
190,엘비세미콘,061970,2011-01-31,신규상장,주권,한국투자증권(주),500,4700,37600000,43274592,3195
191,티피씨글로벌,130740,2011-02-08,신규상장,주권,신영증권(주),500,5200,6760000,5610345,6667
192,케이아이엔엑스,093320,2011-02-08,신규상장,주권,하나금융투자(주),500,8000,5760000,4800000,11000
193,나노신소재,121600,2011-02-09,신규상장,주권,한국투자증권(주),500,17000,30243000,7116000,16467
194,선진,136490,2011-02-16,재상장,주권,미래에셋대우(주),500,0,0,8140000,3466
195,현대위아,011210,2011-02-21,신규상장,주권,미래에셋증권(주),5000,65000,520000000,25730119,138000
196,부스타,008470,2011-02-23,신규상장,주권,현대차증권주식회사,500,4200,8568000,8160000,4725
197,일진머티리얼즈,020150,2011-03-04,신규상장,주권,미래에셋증권(주),500,15800,185829520,39200000,15394
198,BS금융지주,138930,2011-03-30,신규상장,주권,유안타증권(주),5000,0,0,193379899,12582
199,티케이케미칼,104480,2011-04-26,신규상장,주권,엔에이치투자증권주식회사,500,5000,198000000,90000000,2275
200,이퓨쳐,134060,2011-04-27,신규상장,주권,삼성증권(주),500,6400,5760000,3635000,3460
201,한국종합기술,023350,2011-04-28,신규상장,주권,"메리츠증권(주),엔에이치투자증권주식회사",500,7100,22323252,10950000,7500
202,윈스테크넷,136540,2011-05-02,재상장,주권,엔에이치투자증권(주)(농협),500,0,0,9841600,7370
203,하림,136480,2011-05-02,재상장,주권,미래에셋대우(주),500,0,0,53945938,4344
204,골프존,121440,2011-05-20,신규상장,주권,한국투자증권(주),500,85000,170000000,12283023,10257
205,KMH,122450,2011-05-25,신규상장,주권,IBK투자증권(주),500,9500,29391480,12375360,2087
206,세아특수강　　　　,019440,2011-06-01,신규상장,주권,하나금융투자(주),5000,28000,72318960,8570000,19650
207,엘티에스,138690,2011-06-02,신규상장,주권,엔에이치투자증권주식회사,500,34000,24598286,3600000,9940
208,케이티스카이라이프,053210,2011-06-03,신규상장,주권,미래에셋대우(주),2500,17000,42500000,47666614,18450
209,DGB금융지주,139130,2011-06-07,신규상장,주권,한국투자증권(주),5000,0,0,134053154,14173
210,이마트,139480,2011-06-10,재상장,주권,삼성증권(주),5000,0,0,27875819,249000
211,완리,900180,2011-06-13,신규상장,외국주권,삼성증권(주),1,4100,50020000,48696351,1318
212,넥스트아이,137940,2011-06-14,신규상장,주권,한국투자증권(주),500,10000,10000000,5810945,1187
213,리켐,131100,2011-06-14,신규상장,주권,SK증권(주),500,14000,16399600,4270000,19639
214,코오롱플라스틱,138490,2011-06-15,신규상장,주권,미래에셋대우(주),1000,4300,37410000,29000000,5643
215,쓰리피시스템,110500,2011-06-17,신규상장,주권,부국증권(주),500,5800,9912954,6800000,4200
216,엠케이트렌드,069640,2011-06-21,신규상장,주권,엔에이치투자증권주식회사,500,11000,26400000,8000000,5767
217,탑금속,019770,2011-06-24,신규상장,주권,KB증권(주),500,6500,21450000,11650000,4380
218,하이마트,071840,2011-06-29,신규상장,주권,미래에셋대우(주),5000,59000,419747830,23607712,47400
219,한국항공우주,047810,2011-06-30,신규상장,주권,"엔에이치투자증권주식회사,KB증권(주)",5000,15500,567515187,97475107,29400
220,대양전기공업,108380,2011-07-08,신규상장,주권,삼성증권(주),500,9000,25650000,9495300,9800
221,옵티시스,109080,2011-07-12,신규상장,주권,키움증권(주),500,7600,5320000,5636000,5110
222,나이벡,138610,2011-07-13,신규상장,주권,대신증권(주),500,10000,7340000,2935996,4543
223,신세계인터내셔날,031430,2011-07-14,신규상장,주권,한국투자증권(주),5000,65000,130000000,7140000,82500
224,상아프론테크,089980,2011-07-21,신규상장,주권,한국투자증권(주),500,6000,15000000,12289470,3955
225,삼원강재,023000,2011-07-22,신규상장,주권,미래에셋대우(주),500,4000,40000000,40000000,4105
226,경봉,139050,2011-07-29,신규상장,주권,유안타증권(주),500,7100,9478500,5100040,4296
227,제닉,123330,2011-08-03,신규상장,주권,교보증권(주),500,22000,19800000,3922909,30762
228,아이씨디,040910,2011-08-05,신규상장,주권,유안타증권(주),500,34000,52700000,7721832,13200
229,제이씨케미칼,137950,2011-08-08,신규상장,주권,삼성증권(주),500,7200,24048000,13340000,3315
230,화진,134780,2011-08-10,신규상장,주권,현대차증권주식회사,500,4300,12304880,12100000,1764
231,에이블씨엔씨,078520,2011-09-07,이전상장,주권,미래에셋대우(주),500,0,0,9421492,44096
232,아이디스,143160,2011-09-26,재상장,주권,대신증권(주),500,0,0,3106200,18404
233,피앤이솔루션,131390,2011-09-27,신규상장,주권,교보증권(주),500,8000,12000000,6176000,3690
234,대한과학,131220,2011-10-11,신규상장,주권,미래에셋대우(주),500,3000,4200000,5525130,11355
235,넥솔론,110570,2011-10-14,신규상장,주권,엔에이치투자증권주식회사,5000,4000,85490200,79065200,6686
236,로보스타,090360,2011-10-17,신규상장,주권,미래에셋증권(주),500,5800,6805888,7800000,5940
237,케이맥,043290,2011-10-25,신규상장,주권,KB증권(주),500,14500,17400000,6188500,2333
238,테라세미콘,123100,2011-11-01,신규상장,주권,"삼성증권(주),케이프투자증권주식회사",500,13500,16200000,8045902,15700
239,하나투어,039130,2011-11-01,이전상장,주권,대신증권(주),5000,0,0,11616185,61400
240,씨엔플러스,115530,2011-11-02,신규상장,주권,한국투자증권(주),500,11500,9200000,4150001,1698
241,신흥기계,007820,2011-11-08,신규상장,주권,한국투자증권(주),500,8500,13396000,6643000,5305
242,씨큐브,101240,2011-11-08,신규상장,주권,대신증권(주),500,5750,5510731,5500000,3178
243,테크윙,089030,2011-11-10,신규상장,주권,한국투자증권(주),500,23000,14950000,4771040,5330
244,아이테스트,089530,2011-11-11,신규상장,주권,미래에셋증권(주),500,2400,24000000,46330294,2135
245,쎄미시스코,136510,2011-11-18,신규상장,주권,하이투자증권(주),500,9500,9137100,3600000,3813
246,와이지엔터테인먼트,122870,2011-11-23,신규상장,주권,미래에셋대우(주),500,34000,42382326,4986157,43708
247,이엠넷,123570,2011-11-25,신규상장,주권,케이비투자증권(주),500,6400,9600000,5500000,2850
248,신진에스엠,138070,2011-11-28,신규상장,주권,한화투자증권(주),500,15000,13500000,4500000,7490
249,에스에프씨,112240,2011-11-30,신규상장,주권,엔에이치투자증권주식회사,500,14000,22860600,6432621,2095
250,티브이로직,121800,2011-12-01,신규상장,주권,한국투자증권(주),500,12000,12600000,5250000,7000
251,넥스트리밍,139670,2011-12-02,신규상장,주권,신한금융투자(주),500,6000,3975600,6625551,3134
